Topic;Horizon;Tags;Dependencies;Dependants;Status;Impact;Criticality;Tag1;Tag2;Tag3;Tag4;Dep1;Dep2;Dep3;Dep4;1Dep;2Dep;3Dep;4Dep
Zinskonditonen CFM/CML;2017;BCBS239;;;in progress;medium;high;BCBS239;;;;;;;;;;;
Reporting Area Market Risk;2017;BCBS239, Tagesgeschäft, BW Reporting, Ad-Hoc-Reporting;Portfoliohierarchie 775, MR BW Report Definitionen;;in progress;medium;medium;BCBS239;Tagesgeschäft;BW Reporting;Ad-Hoc-Reporting;Portfoliohierarchie 775;MR BW Report Definitionen;;;;;;
Segmente für Limit Management;2017;BCBS239, Limit;;Portfoliohierarchie 775;open;low;medium;BCBS239;Limit;;;;;;;Portfoliohierarchie 775;;;
Risikohierarchie Extraktor;2017;BCBS239, Tagesgeschäft;;Portfoliohierarchie 775;in progress;high;high;BCBS239;Tagesgeschäft;;;;;;;Portfoliohierarchie 775;;;
Test Reports BW;2017;BCBS239, BW Reporting;;;open;medium;medium;BCBS239;BW Reporting;;;;;;;;;;
Portfoliohierarchie 775;2017;BCBS239, BW Reporting;Risikohierarchie Extraktor, Segmente für Limit Management, Reporting Area Market Risk;;in progress;high;high;BCBS239;BW Reporting;;;Risikohierarchie Extraktor;Segmente für Limit Management;Reporting Area Market Risk;;;;;
MR BW Report Definitionen;2017;BW Reporting, Tagesgeschäft;Reporting Area Market Risk;;in progress;medium;medium;BW Reporting;Tagesgeschäft;;;Reporting Area Market Risk;;;;;;;
Kommentierung VaR;2018;BW Reporting, Datenqualität;;MR BW Report Definitionen;open;low;low;BW Reporting;Datenqualität;;;;;;;MR BW Report Definitionen;;;
PruVal BW Reports;2018;Prudent Valuation, BW Reporting;Sichern PruVal Ergebnisse;;open;medium;medium;Prudent Valuation;BW Reporting;;;Sichern PruVal Ergebnisse;;;;;;;
Sichern PruVal Ergebnisse;2017;Prudent Valuation, BW Reporting, Datenqualität, Numerix;Selektion Nettingsets;PruVal BW Reports;in progress;medium;medium;Prudent Valuation;BW Reporting;Datenqualität;Numerix;Selektion Nettingsets;;;;PruVal BW Reports;;;
MPU AVA für Loans in FVO;2017;Prudent Valuation, Datenqualität;;PruVal BW Reports;open;high;high;Prudent Valuation;Datenqualität;;;;;;;PruVal BW Reports;;;
CPM/IRM-Daten;2017;Numerix;;;in progress;low;high;Numerix;;;;;;;;;;;
Clean FFV Callable SSD;2017;Numerix;;;closed;medium;high;Numerix;;;;;;;;;;;
Zugang Template Repository;2018;Numerix;;;open;low;low;Numerix;;;;;;;;;;;
Mapping Cap-Templates;2017;Numerix;;;open;medium;high;Numerix;;;;;;;;;;;
Selektion Nettingsets;2017;Numerix;;Sichern PruVal Ergebnisse;open;low;high;Numerix;;;;;;;;Sichern PruVal Ergebnisse;;;
Aufteilung in Bilanzpositionen;2017;Numerix, Datenqualität;;;open;medium;high;Numerix;Datenqualität;;;;;;;;;;
Heranziehung SDS;2017;Numerix, STE/NII, Datenqualität, Audit;;Zinsbindungsbilanz, Automatisierte Berechnung NII;in progress;medium;high;Numerix;STE/NII;Datenqualität;Audit;;;;;Zinsbindungsbilanz;Automatisierte Berechnung NII;;
Zinsbindungsbilanz;2017;STE/NII, Grundgesamtheit, Cashflowselektion;Selektion generischer Geschäfte, A/L Derivate, Konsistente Nutzung Konsolidierungslogik ERP, Technische Spezifikation Selektionskriterien;;in progress;high;high;STE/NII;Grundgesamtheit;Cashflowselektion;;Selektion generischer Geschäfte;A/L Derivate;Konsistente Nutzung Konsolidierungslogik ERP;Technische Spezifikation Selektionskriterien;;;;
Selektion generischer Geschäfte;2017;STE/NII, Grundgesamtheit;;Zinsbindungsbilanz, Automatisierte Berechnung NII;open;medium;medium;STE/NII;Grundgesamtheit;;;;;;;Zinsbindungsbilanz;Automatisierte Berechnung NII;;
A/L Derivate;2017;STE/NII, Grundgesamtheit;;Zinsbindungsbilanz;open;high;high;STE/NII;Grundgesamtheit;;;;;;;Zinsbindungsbilanz;;;
Technische Spezifikation Selektionskriterien;2017;STE/NII, Cashflowselektion;;Zinsbindungsbilanz;in progress;low;low;STE/NII;Cashflowselektion;;;;;;;Zinsbindungsbilanz;;;
Constant Balance Sheet Annahme;2017;STE/NII;;Automatisierte Berechnung NII;in progress;high;high;STE/NII;;;;;;;;Automatisierte Berechnung NII;;;
Mapping Received Guarantees;2017;STE/NII;;Zinsbindungsbilanz;open;low;low;STE/NII;;;;;;;;Zinsbindungsbilanz;;;
Automatisierte Berechnung NII;2017;STE/NII;Constant Balance Sheet Annahme, Zinsbindungsbilanz;;in progress;high;high;STE/NII;;;;Constant Balance Sheet Annahme;Zinsbindungsbilanz;;;;;;
Nebenabreden;2018;Fair Value Enhancement, STE/NII, Zinsbuchbarwert;;;open;medium;medium;Fair Value Enhancement;STE/NII;Zinsbuchbarwert;;;;;;;;;
Revolving Loans;2018;Liquiditätsrisiko, Fair Value Enhancement, STE/NII, Cashflowselektion;;;open;medium;medium;Liquiditätsrisiko;Fair Value Enhancement;STE/NII;Cashflowselektion;;;;;;;;
Junior Loans;2018;Fair Value Enhancement, Fair Value Enhancement, STE/NII, Cashflowselektion;;;open;medium;medium;Fair Value Enhancement;Fair Value Enhancement;STE/NII;Cashflowselektion;;;;;;;;
Risk Committee Approval CoL Diskontierung;2017;Marktrisiko;Bugfix Bond Maturity;Callable - Swaption Hedgebeziehung aus REFON, Automatisierter FX-Hedges Ausschluß aus VaR;open;medium;high;Marktrisiko;;;;Bugfix Bond Maturity;;;;Callable - Swaption Hedgebeziehung aus REFON;Automatisierter FX-Hedges Ausschluß aus VaR;;
Callable - Swaption Hedgebeziehung aus REFON;2017;Marktrisiko, Datenqualität;Risk Committee Approval CoL Diskontierung, Vereinfachung Adjustment Run;;open;medium;medium;Marktrisiko;Datenqualität;;;Risk Committee Approval CoL Diskontierung;Vereinfachung Adjustment Run;;;;;;
Automatisierter FX-Hedges Ausschluß aus VaR;2017;Marktrisiko, Datenqualität;Risk Committee Approval CoL Diskontierung, Vereinfachung Adjustment Run;;open;medium;medium;Marktrisiko;Datenqualität;;;Risk Committee Approval CoL Diskontierung;Vereinfachung Adjustment Run;;;;;;
RapidRep: Prototyp FV-Analyse;2017;Tagesgeschäft, Datenqualität;;Rollout RapidRep GC-MC;in progress;low;low;Tagesgeschäft;Datenqualität;;;;;;;Rollout RapidRep GC-MC;;;
NX-Template für Compounding Swap;2017;Numerix;;;open;medium;high;Numerix;;;;;;;;;;;
NX: Selektion Collateral;2017;Numerix;;;open;medium;high;Numerix;;;;;;;;;;;
Zins- und bonitätsinduzierte FV-Änderungen;2018;Fair Value Enhancement;;;open;low;low;Fair Value Enhancement;;;;;;;;;;;
Einführung konfigurierbare Barwertart;2017;Marktrisiko, Ad-Hoc-Reporting, FRTB;Callable - Swaption Hedgebeziehung aus REFON, Automatisierter FX-Hedges Ausschluß aus VaR;;open;medium;medium;Marktrisiko;Ad-Hoc-Reporting;FRTB;;Callable - Swaption Hedgebeziehung aus REFON;Automatisierter FX-Hedges Ausschluß aus VaR;;;;;;
Einführung Testportfolio;2018;Datenqualität;;;open;medium;low;Datenqualität;;;;;;;;;;;
Rollout RapidRep GC-MC;2017;Datenqualität, Ad-Hoc-Reporting;RapidRep: Prototyp FV-Analyse;;in progress;medium;low;Datenqualität;Ad-Hoc-Reporting;;;RapidRep: Prototyp FV-Analyse;;;;;;;
Nutzbarkeit RapidRep für DQM;2018;Datenqualität;Rollout RapidRep GC-MC, Koordination Anbindung SAP/RapidRep;;in progress;medium;medium;Datenqualität;;;;Rollout RapidRep GC-MC;Koordination Anbindung SAP/RapidRep;;;;;;
Koordination Anbindung SAP/RapidRep;2017;Datenqualität;Rollout RapidRep GC-MC;;in progress;medium;low;Datenqualität;;;;Rollout RapidRep GC-MC;;;;;;;
Entwicklung Template optionale Produkte;2017;BCBS239, BW Reporting;;;in progress;medium;high;BCBS239;BW Reporting;;;;;;;;;;
Konsistente Nutzung Konsolidierungslogik ERP;2018;Marktrisiko, Grundgesamtheit, Datenqualität;;;open;high;medium;Marktrisiko;Grundgesamtheit;Datenqualität;;;;;;;;;
Entfernung O/N Zinssätze;2017;Marktrisiko;;;open;medium;medium;Marktrisiko;;;;;;;;;;;
Import für Marktdatenshifts;2018;Marktrisiko, Datenqualität;;;open;medium;low;Marktrisiko;Datenqualität;;;;;;;;;;
Umstellung HDB Zinssymbole;2017;Marktrisiko;;;in progress;low;high;Marktrisiko;;;;;;;;;;;
Migrationsfairvalues für Loans;2017;Fair Value Enhancement;;;in progress;low;medium;Fair Value Enhancement;;;;;;;;;;;
Reproduzierbarkeit über SDS;2018;Marktrisiko, Fair Value Enhancement, Datenqualität;;;open;medium;medium;Marktrisiko;Fair Value Enhancement;Datenqualität;;;;;;;;;
Leseberechtigung Limitmanagement;2017;Limit, Audit;;;in progress;low;high;Limit;Audit;;;;;;;;;;
Revisionssicherheit Checkliste;2018;Tagesgeschäft, Audit;;;open;low;medium;Tagesgeschäft;Audit;;;;;;;;;;
4-Augen-Prinzip VaR-Abstimmung;2018;Tagesgeschäft, Audit;;;open;medium;medium;Tagesgeschäft;Audit;;;;;;;;;;
Cash Flow Reconciliation;2018;Datenqualität, Cashflowselektion;;;open;medium;medium;Datenqualität;Cashflowselektion;;;;;;;;;;
Jobsteuerung STE/NII;2017;STE/NII;;;open;medium;medium;STE/NII;;;;;;;;;;;
Vereinfachung Adjustment Run;2018;Tagesgeschäft, Marktrisiko;Callable - Swaption Hedgebeziehung aus REFON, Automatisierter FX-Hedges Ausschluß aus VaR;;open;medium;low;Tagesgeschäft;Marktrisiko;;;Callable - Swaption Hedgebeziehung aus REFON;Automatisierter FX-Hedges Ausschluß aus VaR;;;;;;
Compounding Swap;2017;Fair Value Enhancement, Numerix;;;open;medium;high;Fair Value Enhancement;Numerix;;;;;;;;;;
Kontenpflege MPR/Posi;2017;Tagesgeschäft, Audit, Marktrisiko;;;in progress;medium;medium;Tagesgeschäft;Audit;Marktrisiko;;;;;;;;;
Bugfix Bond Maturity;2017;Marktrisiko, Marktrisiko;;Risk Committee Approval CoL Diskontierung;in progress;medium;high;Marktrisiko;Marktrisiko;;;;;;;Risk Committee Approval CoL Diskontierung;;;
